nodes_table_size,root_table_size,poids_table_size,db_size,nodes_count,root_count,poids_count,tree_build_time
270336,98304,237568,10089263,796,4,512,1.4892681000055745
434176,106496,393216,10613551,1592,8,1024,1.0093446999962907
581632,114688,565248,11195183,2388,12,1536,1.1147914000030141
778240,131072,753664,11785007,3184,16,2048,1.0189340999932028
925696,139264,917504,12383023,3980,20,2560,1.0079648999962956
1056768,147456,1073152,12858159,4776,24,3072,1.0572954999806825
1318912,163840,1261568,13521711,5572,28,3584,0.9736203000065871
1466368,172032,1400832,14013231,6368,32,4096,0.9840566999919247
1613824,180224,1572864,14488367,7164,36,4608,1.006898399995407
1761280,196608,1695744,15217455,7960,40,5120,1.0393423000059556
1892352,204800,1695744,15545135,8756,44,5632,0.9573588999919593
2015232,212992,1703936,15840047,9552,48,6144,0.9902697000070475
2433024,229376,1712128,16503599,10348,52,6656,1.1231753999891225
2547712,237568,1785856,16888623,11144,56,7168,1.000860100000864
2703360,245760,1933312,17355567,11940,60,7680,0.9748986999911722
2850816,262144,2113536,17896239,12736,64,8192,1.1372240000055172
3014656,270336,2277376,18379567,13532,68,8704,1.008522099989932
3170304,278528,2441216,18895663,14328,72,9216,0.9948807999899145
3325952,327680,2588672,19411759,15124,76,9728,0.9867053999914788
3465216,335872,2744320,20386607,15920,80,10240,1.0048007000004873
3596288,344064,2777088,20755247,16716,84,10752,1.0250488999881782
3727360,360448,2777088,21066543,17512,88,11264,1.0315079000138212
3866624,368640,2777088,21402415,18308,92,11776,1.0027873999788426
4005888,376832,2785280,21705519,19104,96,12288,1.0108768999925815
4661248,393216,2801664,22557487,19900,100,12800,1.0135184999962803
4808704,401408,2932736,23139119,20696,104,13312,0.9804026999918278
4939776,409600,3088384,23630639,21492,108,13824,1.0336465000000317
5079040,425984,3235840,24113967,22288,112,14336,0.9928559999971185
5201920,434176,3375104,24548143,23084,116,14848,1.0473256999976002
5365760,442368,3514368,25015087,23880,120,15360,1.005113099992741
5496832,458752,3686400,25514799,24676,124,15872,1.0544037999934517
5636096,466944,3686400,25817903,25472,128,16384,0.9948070000100415
5808128,475136,3686400,26186543,26268,132,16896,1.0024599000171293
5947392,491520,3686400,26497839,27064,136,17408,1.0078365000081249
6144000,499712,3710976,26891055,27860,140,17920,1.0081931999884546
6291456,507904,3858432,27374383,28656,144,18432,1.0509631000168156
6447104,524288,4055040,27890479,29452,148,18944,1.1109894000110216
6569984,540672,4218880,28390191,30248,152,19456,1.0010174000053667
6709248,548864,4390912,29905711,31044,156,19968,1.029796000017086
6840320,565248,4554752,30380847,31840,160,20480,1.1062631999957375
6979584,573440,4734976,30888751,32636,164,20992,1.0216404999955557
7110656,581632,4784128,31072771,33432,168,21504,1.0873095999995712
7241728,598016,4784128,31400451,34228,172,22016,1.0027951000083704
7380992,606208,4784128,31711747,35024,176,22528,1.0449167000188027
7512064,614400,4784128,32006659,35820,180,23040,1.0172661000106018
7651328,630784,4800512,32358915,36616,184,23552,0.9950035000219941
7790592,638976,4915200,32784899,37412,188,24064,1.0139579999959096
7929856,647168,5054464,33251843,38208,192,24576,1.0283105999988038
8060928,663552,5185536,33686019,39004,196,25088,1.0053348999936134
9265152,671744,5324800,35209731,39800,200,25600,1.02311679997365
9396224,696320,5464064,35742211,40596,204,26112,1.0626359999878332
9535488,712704,5595136,36258307,41392,208,26624,1.0034775999956764
9658368,720896,5603328,36811567,42188,212,27136,1.0304930999991484
9805824,729088,5603328,37172015,42984,216,27648,1.0731078000098933
9936896,745472,5603328,37483311,43780,220,28160,0.9891326999932062
10092544,753664,5619712,37843759,44576,224,28672,1.035084100003587
10231808,770048,5636096,38212399,45372,228,29184,1.0487607000104617
10362880,786432,5758976,38671151,46168,232,29696,1.0151355999987572
10510336,794624,5898240,39113519,46964,236,30208,1.0128248000110034
10649600,802816,6070272,39596847,47760,240,30720,1.0253947000019252
10788864,819200,6209536,40071983,48556,244,31232,1.0612529999925755
10928128,827392,6381568,40547119,49352,248,31744,1.028103499993449
11083776,835584,6553600,41071407,50148,252,32256,1.0837190999882296
11231232,851968,6750208,41587503,50944,256,32768,1.013263700006064
11403264,860160,6914048,42095407,51740,260,33280,1.0362555999890901
11624448,868352,7118848,42709807,52536,264,33792,1.018477100005839
11771904,884736,7307264,43209519,53332,268,34304,1.0243597000080626
11960320,892928,7495680,43782959,54128,272,34816,1.0087330999958795
12107776,901120,7684096,44290863,54924,276,35328,1.0519283000030555
12255232,917504,7872512,44798767,55720,280,35840,1.3947312000091188
12435456,925696,8044544,45331247,56516,284,36352,1.061999099998502
12591104,933888,8232960,45855535,57312,288,36864,1.0252948999986984
