nodes_table_size,root_table_size,poids_table_size,db_size,nodes_count,root_count,poids_count,tree_build_time
303104,65536,245760,10195759,1023,1,512,1.3592468999995617
524288,65536,409600,10777391,2046,2,1024,0.6020423000009032
753664,65536,557056,11408175,3069,3,1536,0.6419357999984641
950272,98304,761856,12030767,4092,4,2048,0.6017674000031548
1245184,98304,892928,12735279,5115,5,2560,0.9124379000131739
1400832,98304,1081344,13259567,6138,6,3072,0.5957445000094594
1630208,106496,1097728,13574659,7161,7,3584,0.6773666999943089
1802240,106496,1097728,13943299,8184,8,4096,0.5862434000009671
1966080,106496,1163264,14320131,9207,9,4608,0.5900642000051448
2408448,114688,1327104,15352323,10230,10,5120,0.5822109000000637
2572288,114688,1458176,15835651,11253,11,5632,0.5964091000059852
2744320,114688,1630208,16335363,12276,12,6144,0.7253709999931743
2990080,122880,1777664,16966147,13299,13,6656,1.6732327000063378
3178496,122880,1933312,17490435,14322,14,7168,1.3653944999969099
3342336,122880,1998848,18043695,15345,15,7680,1.5884485999995377
3530752,131072,1998848,18436911,16368,16,8192,1.384032700007083
3694592,131072,2031616,18780975,17391,17,8704,1.4252791999897454
3866624,131072,2056192,19165999,18414,18,9216,0.7765803999936907
4038656,139264,2236416,19690287,19437,19,9728,0.6447340000013355
4734976,139264,2408448,21230383,20460,20,10240,0.7592050999955973
4907008,139264,2514944,21529091,21483,21,10752,0.8957472999900347
5087232,147456,2514944,21881347,22506,22,11264,0.7554214999981923
5259264,147456,2514944,22241795,23529,23,11776,0.9606516999920132
5423104,147456,2613248,22651395,24552,24,12288,0.6443298999947729
5611520,155648,2793472,23192067,25575,25,12800,0.6218285999930231
5816320,155648,2940928,23831043,26598,26,13312,0.6949345999892103
6037504,155648,3112960,24412675,27621,27,13824,0.749923299998045
6225920,163840,3252224,24928771,28644,28,14336,0.6551280999992741
6389760,163840,3399680,25403907,29667,29,14848,0.6448116000101436
6553600,163840,3579904,25903619,30690,30,15360,0.6409837999963202
6733824,172032,3612672,26465071,31713,31,15872,0.7467596999922534
6905856,172032,3612672,26792751,32736,32,16384,0.7154398999991827
7069696,172032,3612672,27145007,33759,33,16896,0.6081940000003669
7249920,180224,3629056,27505455,34782,34,17408,0.6807114999974146
7421952,180224,3670016,27882287,35805,35,17920,0.6118014999956358
7585792,180224,3825664,28381999,36828,36,18432,0.7978249000007054
7774208,188416,4022272,28922671,37851,37,18944,0.7632527999958256
7938048,188416,4251648,29512495,38874,38,19456,0.6266934000013862
9150464,188416,4448256,32117551,39897,39,19968,0.5944608999998309
9338880,196608,4612096,32641839,40920,40,20480,0.5979489000019385
9502720,196608,4677632,33051439,41943,41,20992,0.613450599994394
9674752,196608,4677632,33379119,42966,42,21504,0.6268370000034338
9863168,204800,4677632,33755951,43989,43,22016,0.7519993000023533
10018816,204800,4694016,34091823,45012,44,22528,0.6206830000010086
10190848,204800,4710400,34435887,46035,45,23040,0.7667899999942165
10371072,212992,4841472,34935599,47058,46,23552,0.6101446999964537
10543104,212992,4997120,35427119,48081,47,24064,0.5879754000052344
10715136,212992,5169152,35951407,49104,48,24576,0.6366184999933466
10887168,221184,5332992,36451119,50127,49,25088,0.6125276999955531
11100160,221184,5472256,36967215,51150,50,25600,0.6124625999946147
11337728,221184,5636096,37622575,52173,51,26112,0.6155586000095354
11608064,229376,5677056,38163247,53196,52,26624,0.6156259999988833
11829248,229376,5677056,38646575,54219,53,27136,0.6195526999945287
11993088,229376,5677056,39023407,55242,54,27648,0.6168950999999652
12181504,237568,5677056,39375663,56265,55,28160,0.7413290999975288
12369920,237568,5685248,39752495,57288,56,28672,0.6104358000011416
12533760,237568,5758976,40153903,58311,57,29184,0.6709770000015851
12713984,245760,5914624,40686383,59334,58,29696,0.6277152999973623
12877824,245760,6053888,41136943,60357,59,30208,0.7042841999937082
13041664,245760,6209536,41620271,61380,60,30720,0.6666773000033572
13230080,253952,6381568,42169135,62403,61,31232,0.6314855999953579
13402112,253952,6529024,42644271,63426,62,31744,0.637574799999129
13557760,253952,6610944,43070255,64449,63,32256,0.6430867000017315
13746176,262144,6610944,43422511,65472,64,32768,0.6112434999959078
13910016,262144,6610944,43750191,66495,65,33280,0.679829399989103
14082048,262144,6610944,44102447,67518,66,33792,0.6822922999999719
14270464,270336,6619136,44454703,68541,67,34304,0.6417364999942947
14426112,270336,6668288,44847919,69564,68,34816,0.7267706999991788
14598144,270336,6823936,45339439,70587,69,35328,0.6284885999921244
14786560,278528,7004160,45871919,71610,70,35840,0.6291552000038791
14950400,278528,7143424,46347055,72633,71,36352,0.6239625000016531
15122432,278528,7290880,46838575,73656,72,36864,0.633915700003854
15294464,286720,7520256,47428399,74679,73,37376,0.6753824000043096
15466496,286720,7733248,47960879,75702,74,37888,0.6090598000009777
