nodes_table_size,root_table_size,poids_table_size,db_size,nodes_count,root_count,poids_count,tree_build_time
262144,65536,245760,11285295,775,1,512,1.125014099990949
417792,65536,409600,11801391,1550,2,1024,0.45281089993659407
548864,65536,450560,12091907,2325,3,1536,0.5333279999904335
753664,98304,581632,12648963,3100,4,2048,0.4618461999343708
901120,98304,786432,13279747,3875,5,2560,0.4863976000342518
1032192,98304,925696,13730307,4650,6,3072,0.45856539998203516
1286144,106496,1122304,14393859,5425,7,3584,0.5315662000793964
1409024,106496,1302528,14893571,6200,8,4096,0.4993565999902785
1564672,106496,1474560,15368707,6975,9,4608,0.4820923999650404
1695744,114688,1613824,16065027,7750,10,5120,0.4985768999904394
1826816,114688,1777664,16548355,8525,11,5632,0.49778709991369396
1957888,114688,1957888,17175343,9300,12,6144,0.47518479998689145
2351104,122880,1957888,17806127,10075,13,6656,0.4556651000166312
2465792,122880,1957888,18084655,10850,14,7168,0.46425650001037866
2596864,122880,1957888,18371375,11625,15,7680,0.4975325999548659
2736128,131072,1974272,18731823,12400,16,8192,0.5220690000569448
2891776,131072,2064384,19125039,13175,17,8704,0.5061518999282271
3063808,131072,2285568,19706671,13950,18,9216,0.4691615999909118
3203072,139264,2441216,20173615,14725,19,9728,0.47235699999146163
3334144,139264,2580480,21115695,15500,20,10240,0.4732611000072211
3457024,139264,2727936,21566255,16275,21,10752,0.4546859000110999
3588096,147456,2842624,21824003,17050,22,11264,0.5824526000069454
3719168,147456,2842624,22143491,17825,23,11776,0.47981319995597005
3850240,147456,2842624,22422019,18600,24,12288,0.47946840000804514
3973120,155648,2842624,22725123,19375,25,12800,0.47625419998075813
4628480,155648,2867200,23667203,20150,26,13312,0.4779678999911994
4775936,155648,2998272,24158723,20925,27,13824,0.526087100035511
4898816,163840,3153920,24633859,21700,28,14336,0.4677893000189215
5038080,163840,3293184,25076227,22475,29,14848,0.46157440007664263
5160960,163840,3489792,25551363,23250,30,15360,0.48507110006175935
5292032,172032,3710976,26092035,24025,31,15872,0.48755680001340806
5431296,172032,3850240,26686255,24800,32,16384,0.5260901999427006
5611520,172032,3850240,27054895,25575,33,16896,0.49479649995919317
5767168,180224,3866624,27390767,26350,34,17408,0.46187790005933493
5906432,180224,3874816,27702063,27125,35,17920,0.4896571000572294
6062080,180224,3891200,28054319,27900,36,18432,0.493594600004144
6193152,188416,4005888,28455727,28675,37,18944,0.4953531000064686
6307840,188416,4186112,28947247,29450,38,19456,0.4590647000586614
6430720,188416,4358144,30438191,30225,39,19968,0.46614060003776103
6553600,196608,4554752,30929711,31000,40,20480,0.5283262999728322
6684672,196608,4775936,31462191,31775,41,20992,0.48124950006604195
6815744,196608,4857856,31830831,32550,42,21504,0.5137727999826893
6946816,204800,4857856,32150319,33325,43,22016,0.527205100050196
7086080,204800,4857856,32453423,34100,44,22528,0.5286889999406412
7208960,204800,4866048,32740143,34875,45,23040,0.49086589994840324
7331840,212992,4874240,33059631,35650,46,23552,0.4718727000290528
7454720,212992,4980736,33452847,36425,47,24064,0.5257882999721915
7593984,212992,5128192,33919791,37200,48,24576,0.46003320009913296
7716864,221184,5259264,34337583,37975,49,25088,0.46091260004322976
7856128,221184,5398528,34820911,38750,50,25600,0.444860199932009
9019392,221184,5562368,36393775,39525,51,26112,0.5116085999179631
9142272,229376,5611520,36778799,40300,52,26624,0.5112121000420302
9281536,229376,5611520,37180207,41075,53,27136,0.567828300059773
9404416,229376,5611520,37499695,41850,54,27648,0.631461099954322
9527296,237568,5611520,37786415,42625,55,28160,0.4808174999197945
9650176,237568,5611520,38097711,43400,56,28672,0.4885686000343412
9789440,237568,5718016,38507311,44175,57,29184,0.48018740001134574
9912320,245760,5873664,38982447,44950,58,29696,0.4789910000981763
10035200,245760,6021120,39400239,45725,59,30208,0.48096559999976307
10174464,245760,6176768,39858991,46500,60,30720,0.45293620007578284
10305536,253952,6365184,40366895,47275,61,31232,0.4821282000048086
10436608,253952,6545408,40833839,48050,62,31744,0.5627192999236286
10567680,253952,6709248,41317167,48825,63,32256,0.48418560007121414
10690560,262144,6889472,41784111,49600,64,32768,0.4791715000756085
10854400,262144,7118848,42341167,50375,65,33280,0.496971599990502
11010048,262144,7299072,42857263,51150,66,33792,0.48271090001799166
11173888,270336,7471104,43348783,51925,67,34304,0.5002379000652581
11362304,270336,7651328,43905839,52700,68,34816,0.49826109991408885
11517952,270336,7831552,44405551,53475,69,35328,0.49620189995039254
11657216,278528,8052736,44929839,54250,70,35840,0.4798275000648573
11812864,278528,8249344,45454127,55025,71,36352,0.4710675999522209
11952128,278528,8306688,45822767,55800,72,36864,0.48194369999691844
12075008,286720,8306688,46134063,56575,73,37376,0.47214319999329746
12197888,286720,8306688,46404399,57350,74,37888,0.4878325000172481
12337152,286720,8306688,46707503,58125,75,38400,0.4702871999470517
12468224,327680,8306688,47067951,58900,76,38912,0.4766795999603346
12599296,327680,8323072,49460015,59675,77,39424,0.4698582000564784
12738560,327680,8331264,49795887,60450,78,39936,0.48219230002723634
12853248,335872,8364032,50107183,61225,79,40448,0.4916136999381706
12976128,335872,8404992,50434863,62000,80,40960,0.47375659993849695
13099008,335872,8454144,50778927,62775,81,41472,0.48230289993807673
13230080,344064,8634368,51254063,63550,82,41984,0.4639519000193104
13361152,344064,8773632,51696431,64325,83,42496,0.49206830002367496
13484032,344064,8945664,52163375,65100,84,43008,0.49131469998974353
13606912,352256,9093120,52605743,65875,85,43520,0.4865853999508545
13729792,352256,9224192,53031727,66650,86,44032,0.5143659000750631
13860864,352256,9396224,53498671,67425,87,44544,0.5373058998957276
13983744,360448,9551872,53949231,68200,88,45056,0.46711859991773963
14114816,360448,9707520,54407983,68975,89,45568,0.4829704000148922
14254080,360448,9887744,54891311,69750,90,46080,0.4913195000262931
14376960,368640,10051584,55374639,70525,91,46592,0.48942300002090633
14516224,368640,10117120,55726895,71300,92,47104,0.4755430999211967
14647296,368640,10117120,56013615,72075,93,47616,0.47803149989340454
14778368,376832,10117120,56349487,72850,94,48128,0.5708834000397474
14917632,376832,10117120,56644399,73625,95,48640,0.6144286000635475
15048704,376832,10117120,56947503,74400,96,49152,0.49936999997589737
15187968,385024,10125312,57258799,75175,97,49664,0.5096220000414178
15302656,385024,10125312,57545519,75950,98,50176,0.5378223001025617
15433728,385024,10125312,57848623,76725,99,50688,0.49134090007282794
15556608,393216,10125312,58143535,77500,100,51200,0.5593748999526724
15679488,393216,10133504,58503983,78275,101,51712,0.4697364999447018
17899520,393216,10297344,61141807,79050,102,52224,0.4837987000355497
18022400,401408,10428416,61715247,79825,103,52736,0.4817722000880167
18153472,401408,10575872,62214959,80600,104,53248,0.4642978000920266
18284544,401408,10739712,62714671,81375,105,53760,0.5026470000157133
18415616,409600,10887168,63238959,82150,106,54272,0.4784842000808567
18538496,409600,11018240,63689519,82925,107,54784,0.48294460005126894
18677760,409600,11149312,64164655,83700,108,55296,0.4809437000658363
18800640,417792,11288576,64623407,84475,109,55808,0.49036200006958097
18939904,417792,11460608,65123119,85250,110,56320,0.49508489994332194
19062784,417792,11616256,65573679,86025,111,56832,0.4982435000129044
19193856,425984,11755520,66007855,86800,112,57344,0.5128406999865547
19316736,425984,11927552,66474799,87575,113,57856,0.48349249991588295
19447808,425984,12115968,66966319,88350,114,58368,0.47886390006169677
19578880,434176,12312576,67466031,89125,115,58880,0.5069874000037089
19709952,434176,12500992,67965743,89900,116,59392,0.5137151000089943
19832832,434176,12664832,68408111,90675,117,59904,0.4665829000296071
19963904,442368,12836864,68875055,91450,118,60416,0.4946201000129804
20086784,442368,13017088,69366575,92225,119,60928,0.48576329997740686
20226048,442368,13172736,69817135,93000,120,61440,0.4803212999831885
20357120,450560,13393920,70357807,93775,121,61952,0.5054267999948934
20488192,450560,13402112,70652719,94550,122,62464,0.5119576000142843
20619264,450560,13402112,70947631,95325,123,62976,0.5088029999751598
20742144,458752,13402112,71258927,96100,124,63488,0.47260400000959635
