nodes_table_size,root_table_size,poids_table_size,db_size,nodes_count,root_count,poids_count,tree_build_time
303104,65536,245760,10084867,1023,1,512,1.6680134999987786
524288,65536,409600,10666499,2046,2,1024,0.7592567999963649
753664,65536,581632,11321859,3069,3,1536,0.8447911000039312
950272,98304,770048,11928067,4092,4,2048,0.6536904999957187
1245184,98304,933888,12665347,5115,5,2560,0.67843929999799
1400832,98304,1114112,13181443,6138,6,3072,0.7405182000002242
1622016,106496,1286144,13779459,7161,7,3584,0.6510606000010739
1794048,106496,1449984,14311939,8184,8,4096,0.6912522999991779
1957888,106496,1605632,14778883,9207,9,4608,0.7272748999967007
2400256,114688,1777664,15819267,10230,10,5120,0.6746970000021975
2572288,114688,1859584,16462639,11253,11,5632,0.7779404999964754
2744320,114688,1859584,16790319,12276,12,6144,0.6993760999976075
2990080,122880,1875968,17298223,13299,13,6656,0.7699117000011029
3178496,122880,1875968,17658671,14322,14,7168,0.7361018000010517
3342336,122880,1925120,18027311,15345,15,7680,0.6892319000035059
3530752,131072,2097152,18592559,16368,16,8192,0.720677400000568
3694592,131072,2285568,19092271,17391,17,8704,0.719027899998764
3866624,131072,2449408,19616559,18414,18,9216,0.7569089999960852
4038656,139264,2596864,20108079,19437,19,9728,0.7951931999996305
4734976,139264,2744320,21623599,20460,20,10240,0.8122904999981984
4907008,139264,2842624,21914115,21483,21,10752,0.7717365999997128
5087232,147456,2842624,22266371,22506,22,11264,0.7319865000026766
5259264,147456,2842624,22626819,23529,23,11776,0.7332796999980928
5423104,147456,2842624,22938115,24552,24,12288,0.7045804000008502
5611520,155648,2842624,23298563,25575,25,12800,0.7506549000027007
5816320,155648,2940928,23880195,26598,26,13312,0.7425165999957244
6037504,155648,3112960,24494595,27621,27,13824,0.805399299999408
6225920,163840,3252224,25010691,28644,28,14336,0.869777800005977
6389760,163840,3448832,25534979,29667,29,14848,0.7490357999995467
6553600,163840,3670016,26075651,30690,30,15360,0.6869508000017959
6733824,172032,3809280,26743599,31713,31,15872,0.7322481000010157
6905856,172032,3809280,27071279,32736,32,16384,0.7148815999971703
7069696,172032,3809280,27423535,33759,33,16896,0.7327165000024252
7249920,180224,3817472,27775791,34782,34,17408,0.639419099999941
7421952,180224,3858432,28152623,35805,35,17920,0.7063947999995435
7585792,180224,3997696,28635951,36828,36,18432,0.6822498999972595
7774208,188416,4177920,29160239,37851,37,18944,0.7512856000030297
7938048,188416,4374528,29717295,38874,38,19456,0.672527100003208
9150464,188416,4530176,32281391,39897,39,19968,0.720398400000704
9338880,196608,4661248,32772911,40920,40,20480,0.6765526999952272
9502720,196608,4808704,33264431,41943,41,20992,0.7853295000022626
9674752,196608,4825088,33608495,42966,42,21504,0.7296055999977398
9863168,204800,4825088,33985327,43989,43,22016,0.7058503000007477
10018816,204800,4825088,34304815,45012,44,22528,0.6205163000049652
10190848,204800,4825088,34632495,46035,45,23040,0.7279306999989785
10371072,212992,4825088,35001135,47058,46,23552,0.6321228000015253
10543104,212992,4898816,35410735,48081,47,24064,0.7675236000068253
10715136,212992,5029888,35894063,49104,48,24576,0.7202933000007761
10887168,221184,5185536,36385583,50127,49,25088,0.7150255999949877
11100160,221184,5349376,36926255,51150,50,25600,0.6674070000008214
11337728,221184,5488640,37507887,52173,51,26112,0.719164299996919
11608064,229376,5545984,38130479,53196,52,26624,0.7037009000050602
11829248,229376,5545984,38613807,54219,53,27136,0.7111002999954508
11993088,229376,5545984,38957871,55242,54,27648,0.8995102000044426
12181504,237568,5554176,39318319,56265,55,28160,0.7147331999949529
12369920,237568,5578752,39711535,57288,56,28672,0.6753838999939035
12533760,237568,5693440,40153903,58311,57,29184,0.7624185999957263
12713984,245760,5849088,40686383,59334,58,29696,0.6882541000013589
12877824,245760,6004736,41153327,60357,59,30208,0.716350999995484
13041664,245760,6144000,41620271,61380,60,30720,0.8853474999996251
13230080,253952,6332416,42185519,62403,61,31232,0.7735290999989957
13402112,253952,6537216,42717999,63426,62,31744,0.7601462999955402
13557760,253952,6709248,43234095,64449,63,32256,0.780433499996434
13746176,262144,6955008,43832111,65472,64,32768,0.7582113999960711
13910016,262144,7184384,44389167,66495,65,33280,0.8071694000027492
14082048,262144,7356416,44913455,67518,66,33792,0.8328928999981144
14270464,270336,7561216,45462319,68541,67,34304,0.8025320000015199
14426112,270336,7749632,45994799,69564,68,34816,0.7753071999977692
14598144,270336,7938048,46519087,70587,69,35328,0.7197706000006292
14786560,278528,8118272,47051567,71610,70,35840,0.953193100001954
14950400,278528,8323072,47592239,72633,71,36352,0.7313406000030227
15122432,278528,8339456,47952687,73656,72,36864,0.99002759999712
15294464,286720,8339456,48313135,74679,73,37376,0.7184085000044433
15466496,286720,8339456,48632623,75702,74,37888,0.7806476000041584
15638528,286720,8339456,48968495,76725,75,38400,0.7076171000007889
15818752,327680,8347648,49386287,77748,76,38912,0.7794828999976744
18087936,327680,8355840,53908271,78771,77,39424,0.7253133999984129
18251776,327680,8355840,54260527,79794,78,39936,0.7055515000029118
18432000,335872,8364032,54612783,80817,79,40448,0.7505566999971052
18604032,335872,8413184,54997807,81840,80,40960,0.7252103999999235
18767872,335872,8462336,55382831,82863,81,41472,0.7006492000000435
18948096,344064,8617984,55882543,83886,82,41984,0.7218917999998666
19111936,344064,8790016,56390447,84909,83,42496,0.6729611999980989
19275776,344064,8953856,56890159,85932,84,43008,0.6980583000040497
19456000,352256,9093120,57381679,86955,85,43520,0.738819300000614
19628032,352256,9248768,57881391,87978,86,44032,0.7643527000036556
19791872,352256,9396224,58356527,89001,87,44544,0.7790313000004971
19972096,360448,9551872,58864431,90024,88,45056,0.6921759000033489
20152320,360448,9682944,59347759,91047,89,45568,0.7006759000068996
20316160,360448,9822208,59814703,92070,90,46080,0.7477023999963421
20504576,368640,9953280,60330799,93093,91,46592,0.8150826000055531
20668416,368640,9953280,60642095,94116,92,47104,0.7216647999957786
20832256,368640,9953280,60961583,95139,93,47616,0.7308120000016061
21020672,376832,9953280,61354799,96162,94,48128,0.7391244000027655
21184512,376832,9953280,61674287,97185,95,48640,0.7018898999958765
21356544,376832,9953280,62018351,98208,96,49152,0.7603757000033511
21544960,385024,9961472,62378799,99231,97,49664,0.6940657000013744
21700608,385024,9961472,62706479,100254,98,50176,0.8108451000007335
21872640,385024,9961472,63050543,101277,99,50688,0.7729360000012093
22093824,393216,9969664,63451951,102300,100,51200,0.7490118000059738
22355968,393216,10108928,64090927,103323,101,51712,0.7275613000019803
22585344,393216,10248192,64705327,104346,102,52224,0.7089524999973946
22806528,401408,10403840,65385263,105369,103,52736,0.7565663999994285
23044096,401408,10543104,66007855,106392,104,53248,0.7163546000010683
23265280,401408,10682368,66581295,107415,105,53760,0.7402065000060247
23527424,409600,10829824,67244847,108438,106,54272,0.7160436999984086
23732224,409600,10977280,67801903,109461,107,54784,0.726924799993867
23912448,409600,11141120,68342575,110484,108,55296,0.8362854000006337
24092672,417792,11296768,68875055,111507,109,55808,0.7331598999953712
24272896,417792,11485184,69432111,112530,110,56320,0.8711979999934556
24444928,417792,11632640,69923631,113553,111,56832,0.816551600000821
24641536,425984,11796480,70447919,114576,112,57344,0.9457414999997127
24821760,425984,11968512,70972207,115599,113,57856,0.7139977000042563
24985600,425984,12148736,71488303,116622,114,58368,0.7985948999994434
25174016,434176,12304384,72004399,117645,115,58880,0.7618651000011596
25346048,434176,12500992,72553263,118668,116,59392,0.8836798000047565
25501696,434176,12705792,73069359,119691,117,59904,0.7313751999972737
25690112,442368,12918784,73634607,120714,118,60416,0.698995400001877
25853952,442368,13139968,74208047,121737,119,60928,0.7642532999961986
26025984,442368,13336576,74732335,122760,120,61440,0.7312275000003865
26214400,450560,13402112,75174703,123783,121,61952,0.7753098999965005
26370048,450560,13402112,75485999,124806,122,62464,0.7617067999963183
26542080,450560,13402112,75821871,125829,123,62976,0.7330648999995901
26730496,458752,13402112,76198703,126852,124,63488,0.8822819000051823
26894336,458752,13402112,76526383,127875,125,64000,0.7588531999936095
27074560,458752,13402112,76886831,128898,126,64512,0.7206437000058941
27246592,466944,13402112,77214511,129921,127,65024,0.713283400000364
27418624,466944,13402112,77558575,130944,128,65536,0.7244091000029584
27590656,466944,13402112,77902639,131967,129,66048,0.7161382999984198
27770880,475136,13410304,78263087,132990,130,66560,0.6955820000002859
27942912,475136,13418496,78623535,134013,131,67072,0.7231893999996828
28106752,475136,13426688,78951215,135036,132,67584,0.8865100999973947
28286976,483328,13459456,79336239,136059,133,68096,0.7171884999988833
28459008,483328,13492224,79721263,137082,134,68608,0.6948363999981666
28622848,483328,13557760,80106287,138105,135,69120,0.8582823000033386
28803072,491520,13737984,80655151,139128,136,69632,0.7092727000053856
28966912,491520,13950976,81187631,140151,137,70144,0.7501723999957903
29130752,491520,14114816,81679151,141174,138,70656,0.7478312000021106
29310976,499712,14311424,82244399,142197,139,71168,0.8275164000006043
29483008,499712,14491648,82752303,143220,140,71680,0.6924021999948309
29638656,499712,14704640,83309359,144243,141,72192,0.854927399996086
29827072,507904,14860288,83809071,145266,142,72704,0.757012100002612
29999104,507904,15073280,84357935,146289,143,73216,0.7939531000010902
30162944,507904,15253504,84890415,147312,144,73728,0.7568545000031008
30351360,516096,15441920,85431087,148335,145,74240,0.8512369000018225
30507008,516096,15630336,85947183,149358,146,74752,0.7445455000051879
30695424,516096,15818752,86487855,150381,147,75264,0.7458501000000979
30883840,524288,16015360,87044911,151404,148,75776,0.7321205999978702
31047680,524288,16195584,87561007,152427,149,76288,0.7499152000018512
31219712,524288,16367616,88068911,153450,150,76800,0.704057399998419
31399936,540672,16539648,88625967,154473,151,77312,0.7777669999995851
31563776,540672,16564224,88961839,155496,152,77824,0.723225800000364
31735808,540672,16564224,89297711,156519,153,78336,0.7637998999998672
32964608,548864,16564224,94909231,157542,154,78848,0.7099249999955646
33136640,548864,16564224,95245103,158565,155,79360,0.7407110999993165
33300480,548864,16564224,95589167,159588,156,79872,0.9179982999994536
33480704,557056,16564224,95925039,160611,157,80384,0.7414308000006713
33652736,557056,16564224,96260911,161634,158,80896,0.754714899994724
33824768,557056,16564224,96621359,162657,159,81408,0.7452281000005314
34004992,565248,16564224,96965423,163680,160,81920,0.8277142000006279
34168832,565248,16588800,97325871,164703,161,82432,0.7315984000015305
34340864,565248,16613376,97686319,165726,162,82944,0.746348400003626
34521088,573440,16629760,98054959,166749,163,83456,0.7775703000006615
34693120,573440,16646144,98415407,167772,164,83968,0.721177200000966
34856960,573440,16654336,98743087,168795,165,84480,0.7170784999980242
35028992,581632,16687104,99152687,169818,166,84992,0.7132443000009516
35201024,581632,16818176,99603247,170841,167,85504,0.7378374999971129
35364864,581632,16998400,100102959,171864,168,86016,0.7138103999968735
35553280,589824,17145856,100643631,172887,169,86528,0.7640909999972791
35725312,589824,17293312,101118767,173910,170,87040,0.703526100005547
35880960,589824,17440768,101593903,174933,171,87552,0.7429776999997557
36069376,598016,17604608,102109999,175956,172,88064,0.7156696999954875
36233216,598016,17760256,102601519,176979,173,88576,0.7598858999990625
36405248,598016,17932288,103117615,178002,174,89088,0.7378135999970254
36593664,606208,18071552,103617327,179025,175,89600,0.7430413000038243
36749312,606208,18210816,104084271,180048,176,90112,0.7382668000063859
36921344,606208,18358272,104567599,181071,177,90624,0.7348809000031906
37109760,614400,18538496,105108271,182094,178,91136,0.7206771999990451
37273600,614400,18694144,105599791,183117,179,91648,0.741965600005642
37445632,614400,18825216,106066735,184140,180,92160,0.7171780999997281
37617664,622592,18980864,106591023,185163,181,92672,0.7514784000013606
37789696,622592,19136512,107066159,186186,182,93184,0.8594584999955259
37961728,622592,19267584,107524911,187209,183,93696,0.7802429999937885
38141952,630784,19406848,108049199,188232,184,94208,0.7025384000007762
38305792,630784,19562496,108524335,189255,185,94720,0.7556441000051564
38477824,630784,19726336,109032239,190278,186,95232,0.8425930000012158
38658048,638976,19873792,109531951,191301,187,95744,0.7623787999982596
38830080,638976,20004864,109998895,192324,188,96256,0.7319505999985267
38993920,638976,20160512,110490415,193347,189,96768,0.7789226000022609
39165952,647168,20324352,110990127,194370,190,97280,0.7381802999952924
39337984,647168,20455424,111481647,195393,191,97792,0.810144200004288
39501824,647168,20520960,111866671,196416,192,98304,0.7748726999998325
40730624,655360,20520960,113259311,197439,193,98816,0.8030421000003116
40902656,655360,20520960,113611567,198462,194,99328,0.7123551000040607
41058304,655360,20520960,113931055,199485,195,99840,0.7809045000030892
41246720,663552,20520960,114307887,200508,196,100352,0.7618863999960013
41418752,663552,20520960,114635567,201531,197,100864,0.787210700000287
41582592,663552,20520960,114963247,202554,198,101376,0.773833499995817
41852928,671744,20520960,115421999,203577,199,101888,0.8521027999959188
42123264,671744,20520960,115856175,204600,200,102400,0.7188145000036457
42369024,671744,20520960,116273967,205623,201,102912,0.8082347000017762
42647552,679936,20520960,116781871,206646,202,103424,0.7181544999984908
42860544,679936,20520960,117265199,207669,203,103936,0.7385512999971979
43089920,696320,20529152,117764911,208692,204,104448,0.7461896000022534
43311104,704512,20545536,118297391,209715,205,104960,0.7550038999979733
43515904,704512,20545536,118764335,210738,206,105472,0.8766316000037477
43737088,704512,20545536,119239471,211761,207,105984,0.9319871000043349
43950080,712704,20545536,119722799,212784,208,106496,0.8272285999992164
44187648,712704,20545536,120222511,213807,209,107008,0.7698220999955083
44417024,712704,20553728,120664879,214830,210,107520,1.6282652000008966
44654592,720896,20611072,121221935,215853,211,108032,1.0517641999977059
44883968,720896,20750336,121803567,216876,212,108544,0.8515034000010928
45072384,720896,20881408,122360623,217899,213,109056,0.8926901999948313
45301760,729088,21028864,122983215,218922,214,109568,0.9117542000021785
45481984,729088,21176320,123507503,219945,215,110080,0.7328925999972853
45670400,729088,21331968,124039983,220968,216,110592,0.9771656000011717
45858816,737280,21471232,124564271,221991,217,111104,0.7836121000000276
46080000,737280,21651456,125154095,223014,218,111616,0.7426684000020032
46243840,737280,21790720,125637423,224037,219,112128,0.7574753000008059
46415872,745472,21938176,126128943,225060,220,112640,0.7167472000000998
46587904,745472,22110208,126645039,226083,221,113152,0.7716705999991973
46751744,745472,22265856,127128367,227106,222,113664,0.713380999994115
46940160,753664,22421504,127644463,228129,223,114176,0.769964400002209
47104000,753664,22560768,128119599,229152,224,114688,0.7584063000031165
47267840,753664,22716416,128602927,230175,225,115200,0.7649158999993233
47456256,770048,22872064,129143599,231198,226,115712,0.7874387000047136
47620096,770048,23044096,129667887,232221,227,116224,0.8773262000031536
47792128,770048,23232512,130192175,233244,228,116736,0.8602987000049325
47972352,778240,23412736,130741039,234267,229,117248,0.9193270999967353
48136192,778240,23584768,131240751,235290,230,117760,0.8951926000008825
49356800,778240,23748608,132805423,236313,231,118272,0.8474076999991667
49545216,786432,23904256,133305135,237336,232,118784,0.783489000001282
49709056,786432,24059904,133788463,238359,233,119296,0.7101278999980423
49872896,786432,24256512,134337327,239382,234,119808,0.8192225999955554
50061312,794624,24444928,134877999,240405,235,120320,0.7680373999974108
50233344,794624,24633344,135410479,241428,236,120832,0.9016964999973425
50405376,794624,24788992,135901999,242451,237,121344,1.1490479999993113
50585600,802816,25001984,136467247,243474,238,121856,0.8200657999987016
50749440,802816,25255936,137057071,244497,239,122368,0.7282750000013039
