nodes_table_size,root_table_size,poids_table_size,db_size,nodes_count,root_count,poids_count,tree_build_time
286720,98304,237568,10130223,1020,4,512,2.154735099989921
499712,106496,344064,10494467,2040,8,1024,1.2137816000031307
720896,114688,475136,11108867,3060,12,1536,1.1678388000000268
901120,131072,679936,11698691,4080,16,2048,1.1986619999806862
1179648,139264,819200,12403203,5100,20,2560,1.1987593999947421
1343488,147456,991232,12927491,6120,24,3072,1.1721956999972463
1531904,163840,1179648,13525507,7140,28,3584,1.261118800000986
1695744,172032,1335296,14049795,8160,32,4096,1.192426699999487
1851392,180224,1499136,14524931,9180,36,4608,1.1808892999833915
2269184,196608,1622016,15499779,10200,40,5120,1.2504848999960814
2433024,204800,1728512,16151343,11220,44,5632,1.3146319000225049
2596864,212992,1728512,16479023,12240,48,6144,1.1334477000054903
2793472,229376,1736704,16929583,13260,52,6656,1.1503934999927878
2981888,237568,1753088,17314607,14280,56,7168,1.1638537000108045
3137536,245760,1851392,17732399,15300,60,7680,1.1761116000125185
3301376,262144,2048000,18305839,16320,64,8192,1.3402153000060935
3465216,270336,2187264,18764591,17340,68,8704,1.1677633000072092
3620864,278528,2392064,19321647,18360,72,9216,1.1457496999937575
3776512,327680,2531328,19829551,19380,76,9728,1.1937562999955844
4456448,335872,2629632,21287727,20400,80,10240,1.220756299997447
4620288,344064,2629632,21639983,21420,84,10752,1.1931299999996554
4784128,360448,2629632,21984047,22440,88,11264,1.1702737000014167
4931584,368640,2629632,22328111,23460,92,11776,1.1743557000008877
5095424,376832,2695168,22713135,24480,96,12288,1.2067414000048302
5259264,393216,2818048,23180079,25500,100,12800,1.1713032000116073
5488640,401408,2973696,23851823,26520,104,13312,1.1806892000022344
5685248,409600,3112960,24408879,27540,108,13824,1.176055100018857
5857280,425984,3293184,24957743,28560,112,14336,1.21491569999489
6021120,434176,3440640,25441071,29580,116,14848,1.1876573000045028
6176768,442368,3440640,25760559,30600,120,15360,1.2276567000080831
6340608,458752,3440640,26121007,31620,124,15872,1.2363730999932159
6496256,466944,3457024,26456879,32640,128,16384,1.1995209000015166
6651904,475136,3489792,26841903,33660,132,16896,1.2252479000017047
6815744,491520,3604480,27292463,34680,136,17408,1.2228229999891482
6971392,499712,3792896,27808559,35700,140,17920,1.1955854000116233
7135232,507904,3973120,28341039,36720,144,18432,1.188621500012232
7290880,524288,4186112,28873519,37740,148,18944,1.1577849000168499
7446528,540672,4349952,29405999,38760,152,19456,1.1654732000024524
8658944,548864,4399104,31871791,39780,156,19968,1.166343400022015
8814592,565248,4399104,32207663,40800,160,20480,1.1691041000012774
8978432,573440,4407296,32568111,41820,164,20992,1.1868165000050794
9125888,581632,4407296,32879407,42840,168,21504,1.2638054999988526
9289728,598016,4489216,33321775,43860,172,22016,1.1655796999984886
9453568,606208,4628480,33796911,44880,176,22528,1.1811381000152323
9609216,614400,4775936,34263855,45900,180,23040,1.224788899999112
9773056,630784,4923392,34771759,46920,184,23552,1.1946272999921348
9920512,638976,5070848,35238703,47940,188,24064,1.1738114000181668
10084352,647168,5177344,35697455,48960,192,24576,1.2259653999935836
10248192,663552,5177344,36033327,49980,196,25088,1.1695290000061505
10403840,671744,5177344,36361007,51000,200,25600,1.182684600003995
10633216,696320,5185536,36844335,52020,204,26112,1.1850472999794874
10846208,712704,5226496,37368623,53040,208,26624,1.2513728000049014
11075584,720896,5382144,38007599,54060,212,27136,1.1782785000104923
11264000,729088,5537792,38540079,55080,216,27648,1.3985852999903727
11476992,745472,5677056,39072559,56100,220,28160,1.1932987999753095
11632640,753664,5824512,39572271,57120,224,28672,1.214584500005003
11788288,770048,5996544,40112943,58140,228,29184,1.1926480999973137
11952128,786432,6160384,40645423,59160,232,29696,1.1752895999816246
12107776,794624,6348800,41145135,60180,236,30208,1.169234500004677
12271616,802816,6496256,41628463,61200,240,30720,1.1732366000069305
12427264,819200,6660096,42144559,62220,244,31232,1.22644900000887
12582912,827392,6832128,42636079,63240,248,31744,1.1920038999815006
12746752,835584,6995968,43160367,64260,252,32256,1.171959400002379
12902400,851968,7151616,43643695,65280,256,32768,1.1831805999972858
13066240,860160,7331840,44159791,66300,260,33280,1.168847699998878
13221888,868352,7520256,44692271,67320,264,33792,1.198221900005592
13377536,884736,7618560,45110063,68340,268,34304,1.164729999989504
13541376,892928,7618560,45470511,69360,272,34816,1.180577799997991
13697024,901120,7618560,45798191,70380,276,35328,1.2000191999832168
13852672,917504,7618560,46125871,71400,280,35840,1.1741021000198089
14016512,925696,7618560,46469935,72420,284,36352,1.170705300028203
14172160,933888,7626752,46813999,73440,288,36864,1.1822595999983605
14336000,950272,7643136,47190831,74460,292,37376,1.1788638999860268
14491648,958464,7692288,47551279,75480,296,37888,1.1638302000064868
14647296,966656,7725056,47911727,76500,300,38400,1.1980084999813698
14811136,991232,7897088,48460591,77520,304,38912,1.1843876000202727
14966784,999424,8044544,51016495,78540,308,39424,1.3214791000063997
17227776,1007616,8208384,53637935,79560,312,39936,1.2322663999802899
17383424,1024000,8380416,54137647,80580,316,40448,1.2092141000030097
17539072,1032192,8536064,54620975,81600,320,40960,1.1808611000014935
17694720,1040384,8691712,55112495,82620,324,41472,1.2098685000091791
17858560,1056768,8855552,55612207,83640,328,41984,1.2091499000089243
18022400,1064960,8994816,56095535,84660,332,42496,1.1981855999911204
18169856,1073152,9142272,56570671,85680,336,43008,1.212910500005819
18333696,1089536,9297920,57070383,86700,340,43520,1.1587651000008918
18489344,1097728,9363456,57471791,87720,344,44032,1.1759720999980345
18653184,1105920,9363456,57807663,88740,348,44544,1.187548699992476
18817024,1122304,9363456,58151727,89760,352,45056,1.1987962999846786
18964480,1130496,9363456,58479407,90780,356,45568,1.1937456000014208
19128320,1138688,9363456,58815279,91800,360,46080,1.1917837000219151
19283968,1155072,9363456,59175727,92820,364,46592,1.1833883999788668
19447808,1163264,9363456,59495215,93840,368,47104,1.177238500007661
19611648,1171456,9363456,59822895,94860,372,47616,1.1913269000069704
19759104,1196032,9404416,60232495,95880,376,48128,1.169096699974034
19922944,1204224,9527296,60683055,96900,380,48640,1.8295068999868818
20078592,1212416,9658368,61149999,97920,384,49152,1.2340166000067256
20242432,1236992,9781248,61616943,98940,388,49664,1.4280003999883775
20406272,1245184,9936896,62116655,99960,392,50176,1.1592845999985002
20553728,1253376,10084352,62591791,100980,396,50688,1.264495099982014
20717568,1269760,10215424,63066927,102000,400,51200,1.3303192000021227
20873216,1277952,10362880,63632175,103020,404,51712,1.1844394000072498
21143552,1302528,10543104,64353071,104040,408,52224,1.1757336000155192
21397504,1318912,10682368,65065775,105060,412,52736,1.1836192999908235
21659648,1327104,10829824,65712943,106080,416,53248,1.2188141999940854
21864448,1335296,11018240,66319151,107100,420,53760,1.184130500012543
22044672,1351680,11165696,66925359,108120,424,54272,1.1869451999955345
22241280,1359872,11321344,67457839,109140,428,54784,1.1958834999823011
22421504,1368064,11485184,68031279,110160,432,55296,1.183764000015799
22642688,1384448,11665408,68637487,111180,436,55808,1.201965400017798
22831104,1392640,11837440,69194543,112200,440,56320,1.176108400017256
23011328,1400832,11993088,69710639,113220,444,56832,1.1935437999782152
23175168,1417216,12140544,70193967,114240,448,57344,1.2460327000007965
23322624,1433600,12320768,70710063,115260,452,57856,1.1949724000005517
23486464,1441792,12353536,71095087,116280,456,58368,1.1723596999945585
23650304,1458176,12353536,71439151,117300,460,58880,1.1681723999790847
23805952,1466368,12353536,71783215,118320,464,59392,1.1886113000218756
23961600,1474560,12353536,72102703,119340,468,59904,1.2274400000169408
24117248,1490944,12353536,72430383,120360,472,60416,1.1898909000155982
24281088,1499136,12353536,72790831,121380,476,60928,1.1817085999937262
24444928,1507328,12361728,73126703,122400,480,61440,1.1870421000057831
24600576,1523712,12378112,73495343,123420,484,61952,1.217829300003359
24756224,1531904,12386304,73823023,124440,488,62464,1.1810982000024524
24911872,1540096,12386304,74150703,125460,492,62976,1.2279001999995671
25075712,1556480,12386304,74511151,126480,496,63488,1.1756710000045132
25239552,1564672,12410880,74871599,127500,500,64000,1.1764017999812495
25395200,1572864,12427264,75232047,128520,504,64512,1.2072066999971867
25550848,1589248,12566528,75690799,129540,508,65024,1.257535899989307
25706496,1597440,12722176,76182319,130560,512,65536,1.2046204999787733
25870336,1605632,12886016,76690223,131580,516,66048,1.1762959999905434
26034176,1622016,13058048,77206319,132600,520,66560,1.1728429999784566
26181632,1630208,13205504,77689647,133620,524,67072,1.191610200010473
26345472,1646592,13369344,78189359,134640,528,67584,1.17310010001529
26501120,1671168,13524992,78689071,135660,532,68096,1.1690203000034671
26664960,1679360,13721600,79237935,136680,536,68608,1.0909950999775901
26820608,1687552,13942784,79778607,137700,540,69120,1.2485274999926332
26976256,1703936,14114816,80302895,138720,544,69632,1.1286140000156593
27140096,1712128,14327808,80843567,139740,548,70144,1.111497200006852
27295744,1720320,14532608,81376047,140760,552,70656,2.4240334999922197
27459584,1736704,14704640,81908527,141780,556,71168,1.4592808000161313
27615232,1744896,14917632,82441007,142800,560,71680,1.274536699987948
27770880,1753088,15081472,82957103,143820,564,72192,1.2252814999956172
27934720,1769472,15237120,83440431,144840,568,72704,1.8286523999995552
28090368,1785856,15417344,83956527,145860,572,73216,1.3899824999971315
28254208,1794048,15597568,84497199,146880,576,73728,1.186929900024552
28401664,1810432,15761408,84980527,147900,580,74240,1.260802800010424
28565504,1818624,15966208,85529391,148920,584,74752,1.3371711999934632
28745728,1826816,16130048,86045487,149940,588,75264,1.3564715000102296
28901376,1843200,16130048,86381359,150960,592,75776,1.288096400006907
29065216,1851392,16130048,86725423,151980,596,76288,1.2923865000193473
29212672,1859584,16130048,87044911,153000,600,76800,1.5254446000035387
29376512,1884160,16130048,87421743,154020,604,77312,1.1577825999993365
29540352,1892352,16130048,87741231,155040,608,77824,1.4270056000095792
29696000,1900544,16130048,88068911,156060,612,78336,1.3041789999988396
29859840,1916928,16130048,92623663,157080,616,78848,1.619429599988507
31055872,1925120,16138240,93999919,158100,620,79360,1.1675841999822296
31219712,1933312,16138240,94352175,159120,624,79872,1.4132930999912787
31383552,1949696,16154624,94696239,160140,628,80384,1.2482085000083316
31539200,1957888,16171008,95040303,161160,632,80896,1.2511205000046175
31703040,1966080,16171008,95400751,162180,636,81408,1.2736002000165172
31850496,1982464,16179200,95728431,163200,640,81920,1.2156970000069123
32014336,1990656,16203776,96097071,164220,644,82432,1.394661600003019
32169984,1998848,16211968,96432943,165240,648,82944,1.2135091999953147
32333824,2015232,16367616,96932655,166260,652,83456,1.2081965999968816
32489472,2023424,16515072,97415983,167280,656,83968,1.446388999989722
32645120,2031616,16670720,97891119,168300,660,84480,1.1832737000077032
32808960,2048000,16818176,98415407,169320,664,84992,1.125180899980478
32964608,2056192,16949248,98857775,170340,668,85504,1.1372152999974787
33128448,2064384,17113088,99349295,171360,672,86016,1.1561552999773994
33284096,2088960,17268736,99881775,172380,676,86528,1.1615638999792282
33439744,2097152,17416192,100356911,173400,680,87040,1.1257158999796957
33603584,2105344,17555456,100840239,174420,684,87552,1.136191300000064
33759232,2121728,17686528,101298991,175440,688,88064,1.1365594000089914
33923072,2129920,17825792,101782319,176460,692,88576,1.1683272999944165
34086912,2138112,17965056,102265647,177480,696,89088,1.1305042000021785
34242560,2154496,18120704,102757167,178500,700,89600,1.1077621000004
34406400,2162688,18251776,103232303,179520,704,90112,1.1130254000017885
34562048,2170880,18382848,103691055,180540,708,90624,1.1652800999872852
34717696,2187264,18522112,104166191,181560,712,91136,1.1205250999773853
34881536,2195456,18653184,104641327,182580,716,91648,1.1569839000003412
35037184,2203648,18808832,105124655,183600,720,92160,1.124425899994094
35201024,2220032,18956288,105640751,184620,724,92672,1.1284913000126835
35356672,2228224,18980864,105976623,185640,728,93184,1.1806550000037532
35512320,2236416,18980864,106296111,186660,732,93696,1.145739900006447
35676160,2252800,18980864,106672943,187680,736,94208,1.1306134999904316
35831808,2260992,18980864,106992431,188700,740,94720,1.352232900011586
35995648,2269184,18980864,107336495,189720,744,95232,1.1293074999994133
36151296,2285568,18989056,107680559,190740,748,95744,1.0411095999879763
36306944,2301952,18989056,108016431,191760,752,96256,1.1192041000176687
36462592,2318336,18989056,108360495,192780,756,96768,1.100267600006191
36626432,2334720,18989056,108696367,193800,760,97280,1.091518500004895
36790272,2342912,18989056,109056815,194820,764,97792,1.0831325000035577
36937728,2351104,18997248,109376303,195840,768,98304,1.0994616000098176
37101568,2367488,19005440,109720367,196860,772,98816,1.121274600009201
38305792,2383872,19005440,111129391,197880,776,99328,1.0737867999996524
38469632,2392064,19013632,111473455,198900,780,99840,1.0743634999962524
38633472,2408448,19021824,111842095,199920,784,100352,1.1090541000012308
38780928,2416640,19128320,112259887,200940,788,100864,1.0923223000136204
38944768,2424832,19259392,112726831,201960,792,101376,1.0411909999966156
39100416,2441216,19398656,113218351,202980,796,101888,0.9994937999872491
39264256,2449408,19546112,113701679,204000,800,102400,1.0490312000038102
39469056,2457600,19685376,114225967,205020,804,102912,1.098280700010946
39657472,2473984,19832832,114791215,206040,808,103424,1.0765806999988854
39870464,2482176,19980288,115421999,207060,812,103936,1.06956150001497
40091648,2490368,20144128,116085551,208080,816,104448,1.0885180000041146
40312832,2506752,20316160,116790063,209100,820,104960,1.121853699994972
40558592,2514944,20480000,117469999,210120,824,105472,1.0962238000065554
40755200,2531328,20652032,118092591,211140,828,105984,1.0926806000061333
40992768,2547712,20791296,118739759,212160,832,106496,1.08110250000027
41213952,2555904,20930560,119354159,213180,836,107008,1.0918937999813352
41476096,2564096,21078016,120017711,214200,840,107520,1.0657375000009779
41689088,2580480,21266432,120714031,215220,844,108032,1.1014781999983825
41893888,2588672,21405696,121279279,216240,848,108544,1.0506009999953676
42115072,2596864,21553152,121860911,217260,852,109056,1.0594434999802615
42303488,2613248,21692416,122409775,218280,856,109568,1.0906877999950666
42508288,2621440,21839872,122958639,219300,860,110080,1.1546652000106405
42655744,2629632,21970944,123458351,220320,864,110592,1.071196200005943
42844160,2646016,22159360,124023599,221340,868,111104,1.074557799991453
43008000,2654208,22339584,124556079,222360,872,111616,1.0878678000008222
43196416,2662400,22519808,125121327,223380,876,112128,1.0914662999857683
43425792,2678784,22675456,125686575,224400,880,112640,1.1010355000034906
43589632,2686976,22847488,126227247,225420,884,113152,1.0703732000256423
43753472,2695168,23019520,126743343,226440,888,113664,1.013672500004759
43917312,2711552,23183360,127251247,227460,892,114176,1.1112567000091076
44089344,2719744,23330816,127750959,228480,896,114688,1.076166299986653
44253184,2727936,23478272,128234287,229500,900,115200,1.0780309999827296
44408832,2752512,23650304,128766767,230520,904,115712,1.1105811999877915
44572672,2760704,23830528,129282863,231540,908,116224,1.0085764999967068
44736512,2768896,23953408,129741615,232560,912,116736,1.06048909999663
44892160,2785280,24109056,130249519,233580,916,117248,1.073109699995257
45047808,2793472,24248320,130716463,234600,920,117760,1.0178589000133798
45203456,2801664,24428544,131240751,235620,924,118272,1.0186443999991752
45367296,2818048,24510464,131650351,236640,928,118784,1.122065500007011
46579712,2826240,24510464,133034799,237660,932,119296,1.0887892000027932
46735360,2842624,24510464,133395247,238680,936,119808,1.0548684000095818
46891008,2859008,24510464,133722927,239700,940,120320,1.053025200002594
47046656,2867200,24510464,134058799,240720,944,120832,1.0327230999828316
47210496,2875392,24510464,134394671,241740,948,121344,1.093183399992995
47374336,2891776,24510464,134738735,242760,952,121856,1.0929327000048943
47521792,2899968,24510464,135066415,243780,956,122368,1.0492646000056993
47685632,2908160,24510464,135402287,244800,960,122880,1.1221416000043973
47841280,2924544,24510464,135762735,245820,964,123392,1.0646011999924667
48005120,2932736,24510464,136082223,246840,968,123904,1.0835671999957412
48160768,2940928,24510464,136401711,247860,972,124416,1.0759321000077762
48316416,2965504,24526848,136786735,248880,976,124928,1.0347771999950055
48488448,2973696,24526848,137130799,249900,980,125440,1.1051614999887533
48644096,2981888,24551424,137491247,250920,984,125952,1.0761973000189755
48807936,2998272,24559616,137835311,251940,988,126464,1.0915099999983795
48963584,3006464,24567808,138179375,252960,992,126976,1.0958619999873918
49127424,3014656,24567808,138523439,253980,996,127488,1.1001842000114266
49291264,3031040,24576000,138875695,255000,1000,128000,1.0298042000213172
49446912,3039232,24592384,139227951,256020,1004,128512,1.0652299000066705
49610752,3047424,24625152,139596591,257040,1008,129024,1.0469201999949291
49758208,3063808,24633344,139932463,258060,1012,129536,1.0882687999983318
49922048,3072000,24674304,140317487,259080,1016,130048,1.0652280999929644
50085888,3080192,24805376,140776239,260100,1020,130560,1.0805067000037525
50241536,3096576,24961024,141300527,261120,1024,131072,1.0415819000045303
50405376,3104768,25100288,141759279,262140,1028,131584,1.0789248999790289
50552832,3112960,25288704,142258991,263160,1032,132096,1.1623789999866858
50716672,3129344,25460736,142807855,264180,1036,132608,1.021925699984422
50880512,3137536,25600000,143274799,265200,1040,133120,1.0564856999844778
51036160,3145728,25755648,143766319,266220,1044,133632,1.0500450000108685
51200000,3162112,25952256,144298799,267240,1048,134144,1.0670883000129834
51347456,3178496,26124288,144806703,268260,1052,134656,1.0839971999812406
51511296,3186688,26288128,145314607,269280,1056,135168,1.03984969999874
51675136,3203072,26468352,145838895,270300,1060,135680,1.1244052999827545
51830784,3211264,26599424,146289455,271320,1064,136192,1.0839532999962103
51986432,3219456,26763264,146797359,272340,1068,136704,1.1211074000166263
52142080,3235840,26943488,147313455,273360,1072,137216,1.0522418999753427
52305920,3244032,27164672,147878703,274380,1076,137728,1.0724738000135403
52461568,3252224,27361280,148402991,275400,1080,138240,1.03571809999994
53673984,3268608,27525120,149951279,276420,1084,138752,1.0578011999896262
53829632,3276800,27705344,150475567,277440,1088,139264,1.077131099998951
53985280,3284992,27869184,150958895,278460,1092,139776,1.0782707999751437
54149120,3301376,28049408,151507759,279480,1096,140288,1.0360986999876332
54304768,3309568,28237824,152023855,280500,1100,140800,1.0779201999830548
54468608,3317760,28385280,152490799,281520,1104,141312,1.0575093000079505
54624256,3334144,28549120,153006895,282540,1108,141824,1.0831548999994993
54779904,3342336,28712960,153506607,283560,1112,142336,1.0800111999851651
54943744,3350528,28876800,154014511,284580,1116,142848,1.075894400011748
55099392,3375104,29081600,154555183,285600,1120,143360,1.0530244999972638
55263232,3383296,29253632,155063087,286620,1124,143872,1.1035026999888942
55418880,3399680,29442048,155603759,287640,1128,144384,1.0674607999972068
55574528,3416064,29589504,156087087,288660,1132,144896,1.0915854000195395
55738368,3424256,29753344,156611375,289680,1136,145408,1.1466632999945432
55894016,3440640,29974528,157168431,290700,1140,145920,1.101602200011257
56049664,3457024,30138368,157659951,291720,1144,146432,1.1683784000051674
56213504,3465216,30326784,158200623,292740,1148,146944,1.0643786000146065
56369152,3473408,30507008,158708527,293760,1152,147456,1.025076000019908
56532992,3489792,30670848,159232815,294780,1156,147968,1.1036310000054073
56688640,3497984,30834688,159724335,295800,1160,148480,1.0451459999894723
56844288,3506176,30982144,160183087,296820,1164,148992,1.0805184999771882
57008128,3522560,31014912,160625455,297840,1168,149504,1.042322299996158
57163776,3530752,31014912,160961327,298860,1172,150016,1.0343664000101853
57327616,3538944,31014912,161305391,299880,1176,150528,1.0541508000169415
57483264,3555328,31014912,161641263,300900,1180,151040,1.0744860999984667
57638912,3563520,31014912,161960751,301920,1184,151552,1.1055302000022493
57794560,3571712,31014912,162304815,302940,1188,152064,1.1289719000051264
57958400,3588096,31014912,162640687,303960,1192,152576,1.023173499997938
58122240,3596288,31014912,162992943,304980,1196,153088,1.0548126999929082
58269696,3604480,31014912,163312431,306000,1200,153600,1.0473334999987856
58433536,3629056,31014912,163656495,307020,1204,154112,1.0054123999725562
58589184,3637248,31014912,164000559,308040,1208,154624,1.1322689999942668
58753024,3645440,31014912,164336431,309060,1212,155136,1.0770593000052031
58916864,3661824,31014912,164696879,310080,1216,155648,1.0568648000189569
59064320,3670016,31023104,165016367,311100,1220,156160,1.104551199998241
59228160,3678208,31023104,165352239,312120,1224,156672,1.0541469999880064
