nodes_table_size,root_table_size,poids_table_size,db_size,nodes_count,root_count,poids_count,tree_build_time
270336,65536,245760,10089263,794,2,512,1.7489503999968292
442368,98304,409600,10654511,1588,4,1024,0.8229750000027707
581632,98304,565248,11227951,2382,6,1536,0.8626136999955634
794624,106496,573440,11645743,3176,8,2048,0.8304105999995954
958464,114688,696320,12219183,3970,10,2560,0.834584399999585
1089536,114688,835584,12669743,4764,12,3072,0.8799623000086285
1359872,122880,1007616,13316911,5558,14,3584,0.82384070000262
1507328,131072,1212416,13873967,6352,16,4096,0.867752100006328
1662976,131072,1368064,14332719,7146,18,4608,0.7787586999911582
1810432,139264,1507328,15045423,7940,20,5120,0.81995220000681
1933312,147456,1654784,15512367,8734,22,5632,0.8046655000071041
2072576,147456,1826816,15979311,9528,24,6144,0.8051604999927804
2473984,155648,1949696,16757551,10322,26,6656,0.8524172000034014
2605056,163840,1949696,17060655,11116,28,7168,0.8768349000019953
2744320,163840,1974272,17380143,11910,30,7680,0.794565700009116
2875392,172032,2007040,17748783,12704,32,8192,0.8118128000060096
3055616,180224,2064384,18141999,13498,34,8704,0.8041599999996834
3219456,180224,2236416,18666287,14292,36,9216,0.8395875999995042
3375104,188416,2416640,19174191,15086,38,9728,0.8405435000022408
3514368,196608,2564096,20140847,15880,40,10240,0.8197952000045916
3645440,196608,2719744,20607791,16674,42,10752,0.8177776000084123
3792896,204800,2867200,21074735,17468,44,11264,0.7909178999980213
3932160,212992,2940928,21484335,18262,46,11776,0.8323004999983823
4071424,212992,2940928,21771055,19056,48,12288,0.86857739998959
4743168,221184,2940928,22614831,19850,50,12800,0.8941225000016857
4866048,229376,2940928,23032623,20644,52,13312,0.812632000001031
5005312,229376,2949120,23384879,21438,54,13824,0.8703109000052791
5144576,237568,3072000,23835439,22232,56,14336,0.797140099995886
5283840,245760,3219456,24294191,23026,58,14848,0.8110426000057487
5414912,245760,3391488,24752943,23820,60,15360,0.8114991000038572
5554176,253952,3555328,25244463,24614,62,15872,0.8481355000112671
5685248,262144,3784704,25768751,25408,64,16384,0.7966324000008171
5865472,262144,3866624,26219311,26202,66,16896,0.8716618000034941
6045696,270336,3866624,26563375,26996,68,17408,0.8166908999992302
6225920,278528,3866624,26915631,27790,70,17920,0.8604278999991948
6356992,278528,3883008,27243311,28584,72,18432,0.8395664999989094
6504448,286720,3907584,27570991,29378,74,18944,0.9080878999957349
6643712,327680,4087808,28128047,30172,76,19456,0.8574165999889374
6782976,327680,4325376,29700911,30966,78,19968,0.7996210999990581
6930432,335872,4513792,30208815,31760,80,20480,0.8335177999979351
7061504,344064,4661248,30675759,32554,82,20992,0.8133158999989973
7208960,344064,4816896,31134511,33348,84,21504,0.8610056999896187
7356416,352256,4841472,31494959,34142,86,22016,0.9790582999994513
7495680,360448,4841472,31806255,34936,88,22528,0.8657214999984717
7634944,360448,4841472,32101167,35730,90,23040,0.8135925000096904
7757824,368640,4849664,32420655,36524,92,23552,0.8201045000023441
7905280,376832,4857856,32748335,37318,94,24064,0.7744170999940252
